experiment,display_name,mode,action_l1
act_lang_B,ACT-Lang-B,correct,0.5219524502754211
act_lang_B,ACT-Lang-B,correct,0.12448695302009583
act_lang_B,ACT-Lang-B,correct,0.2507237493991852
act_lang_B,ACT-Lang-B,correct,0.30035749077796936
act_lang_B,ACT-Lang-B,correct,0.7586684226989746
act_lang_B,ACT-Lang-B,correct,0.2493404597043991
act_lang_B,ACT-Lang-B,correct,0.6344830989837646
act_lang_B,ACT-Lang-B,correct,0.3087296783924103
act_lang_B,ACT-Lang-B,zero_language,0.5818330645561218
act_lang_B,ACT-Lang-B,zero_language,0.21941234171390533
act_lang_B,ACT-Lang-B,zero_language,0.4765629470348358
act_lang_B,ACT-Lang-B,zero_language,0.8526097536087036
act_lang_B,ACT-Lang-B,zero_language,0.7238188982009888
act_lang_B,ACT-Lang-B,zero_language,0.4438723027706146
act_lang_B,ACT-Lang-B,zero_language,0.8509572148323059
act_lang_B,ACT-Lang-B,zero_language,0.3475734293460846
act_lang_B,ACT-Lang-B,wrong_language,0.551139771938324
act_lang_B,ACT-Lang-B,wrong_language,0.4963436424732208
act_lang_B,ACT-Lang-B,wrong_language,1.6687886714935303
act_lang_B,ACT-Lang-B,wrong_language,1.0362721681594849
act_lang_B,ACT-Lang-B,wrong_language,0.7625401020050049
act_lang_B,ACT-Lang-B,wrong_language,0.31750187277793884
act_lang_B,ACT-Lang-B,wrong_language,0.8589894771575928
act_lang_B,ACT-Lang-B,wrong_language,0.6504873633384705
act_lang_B,ACT-Lang-B,correct,0.4687463641166687
act_lang_B,ACT-Lang-B,correct,0.40062031149864197
act_lang_B,ACT-Lang-B,correct,0.3052360713481903
act_lang_B,ACT-Lang-B,correct,0.37369731068611145
act_lang_B,ACT-Lang-B,correct,0.4597705900669098
act_lang_B,ACT-Lang-B,correct,0.2266809046268463
act_lang_B,ACT-Lang-B,correct,0.3556514382362366
act_lang_B,ACT-Lang-B,correct,0.20190498232841492
act_lang_B,ACT-Lang-B,zero_language,0.6673160195350647
act_lang_B,ACT-Lang-B,zero_language,0.4628409147262573
act_lang_B,ACT-Lang-B,zero_language,0.37040796875953674
act_lang_B,ACT-Lang-B,zero_language,0.776361882686615
act_lang_B,ACT-Lang-B,zero_language,0.5876356363296509
act_lang_B,ACT-Lang-B,zero_language,0.584080159664154
act_lang_B,ACT-Lang-B,zero_language,0.7492313385009766
act_lang_B,ACT-Lang-B,zero_language,0.44965609908103943
act_lang_B,ACT-Lang-B,wrong_language,0.7386458516120911
act_lang_B,ACT-Lang-B,wrong_language,0.679460883140564
act_lang_B,ACT-Lang-B,wrong_language,0.2070077508687973
act_lang_B,ACT-Lang-B,wrong_language,0.9385974407196045
act_lang_B,ACT-Lang-B,wrong_language,0.662816047668457
act_lang_B,ACT-Lang-B,wrong_language,0.5433666110038757
act_lang_B,ACT-Lang-B,wrong_language,0.9070119261741638
act_lang_B,ACT-Lang-B,wrong_language,1.0962740182876587
act_lang_B,ACT-Lang-B,correct,0.07322672009468079
act_lang_B,ACT-Lang-B,correct,0.5381909608840942
act_lang_B,ACT-Lang-B,correct,0.2559245228767395
act_lang_B,ACT-Lang-B,correct,0.2829515039920807
act_lang_B,ACT-Lang-B,correct,0.4777831435203552
act_lang_B,ACT-Lang-B,correct,0.2790594696998596
act_lang_B,ACT-Lang-B,correct,0.6890366673469543
act_lang_B,ACT-Lang-B,correct,0.16948482394218445
act_lang_B,ACT-Lang-B,zero_language,0.10173796117305756
act_lang_B,ACT-Lang-B,zero_language,1.1041542291641235
act_lang_B,ACT-Lang-B,zero_language,0.5233331918716431
act_lang_B,ACT-Lang-B,zero_language,1.545924186706543
act_lang_B,ACT-Lang-B,zero_language,1.4182765483856201
act_lang_B,ACT-Lang-B,zero_language,0.3795955181121826
act_lang_B,ACT-Lang-B,zero_language,0.791374146938324
act_lang_B,ACT-Lang-B,zero_language,1.3175935745239258
act_lang_B,ACT-Lang-B,wrong_language,0.18179796636104584
act_lang_B,ACT-Lang-B,wrong_language,1.2180914878845215
act_lang_B,ACT-Lang-B,wrong_language,0.9756370186805725
act_lang_B,ACT-Lang-B,wrong_language,1.4424641132354736
